Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-December-2018,334.00,341.00,327.95,335.80,337.218116724552238079,102789,1725,34662313.00,24804,24.13,13.05,1.80
17-December-2018,330.00,332.15,324.45,331.25,328.599961236553929644,51595,618,16954115.00,11017,21.35,7.70,1.25
14-December-2018,331.00,334.50,324.45,328.25,329.154791464475226559,79339,1886,26114812.00,8637,10.89,10.05,-2.75
13-December-2018,331.40,337.60,329.05,330.55,332.989512235724987514,96112,1649,32004288.00,17914,18.64,8.55,-0.85
12-December-2018,332.00,338.35,326.70,329.50,332.665577142657915609,114729,1871,38166389.00,20641,17.99,11.65,-2.50
11-December-2018,316.00,334.00,314.95,331.15,328.837013536660956963,150037,2598,49337719.00,18083,12.05,19.05,15.15
10-December-2018,315.00,321.45,310.00,317.95,316.855293356087800859,101958,1182,32305932.00,15025,14.74,11.45,2.95
7-December-2018,320.20,320.60,310.50,316.30,315.874560843181092302,100192,1796,31648104.00,10245,10.23,10.10,-3.90
6-December-2018,322.05,325.55,317.00,320.10,321.413590811978422785,84719,2629,27229838.00,27121,32.01,8.55,-1.95
5-December-2018,329.80,333.90,320.20,325.15,326.647219111177822166,86609,2167,28290589.00,16736,19.32,13.70,-4.65
4-December-2018,328.40,334.80,324.90,330.95,331.747788135392205697,126477,2624,41958465.00,27444,21.70,9.90,2.55
3-December-2018,325.10,329.80,318.75,327.15,325.384755648677728070,88295,1786,28729847.00,21592,24.45,11.05,2.05
30-November-2018,317.55,328.35,313.85,323.20,322.828727164054988175,153924,3335,49691089.00,30509,19.82,14.50,5.65
29-November-2018,312.80,319.40,308.95,314.25,314.980566299002053191,62829,1375,19789914.00,13676,21.77,10.45,1.45
28-November-2018,308.75,315.20,306.00,310.95,311.554739883748173105,89633,1691,27925586.00,17670,19.71,9.20,2.20
27-November-2018,314.90,316.85,306.10,307.70,309.802866130723523243,74386,1647,23044996.00,12833,17.25,10.75,-7.20
26-November-2018,305.00,312.70,294.80,309.55,302.860128192084647471,147435,2856,44652183.00,14998,10.17,17.90,4.55
22-November-2018,304.00,310.85,303.10,307.60,307.209783264853075769,51353,1258,15776144.00,12450,24.24,7.75,3.60
21-November-2018,309.00,309.00,300.95,304.20,303.474665085259862728,102862,3030,31216011.00,22407,21.78,8.05,-4.80
20-November-2018,312.75,314.45,306.15,308.60,311.457570834045949489,70164,2156,21853109.00,21731,30.97,8.30,-4.15
19-November-2018,310.00,316.00,309.00,312.70,313.176128977159503904,105383,1064,33003440.00,19091,18.12,7.00,2.70
16-November-2018,316.45,316.45,305.05,308.25,308.801910847359873723,131774,1733,40692063.00,29350,22.27,11.40,-8.20
15-November-2018,320.00,321.50,313.35,315.50,316.679692840903670964,62899,872,19918836.00,14264,22.68,8.15,-4.50
14-November-2018,316.95,320.80,310.05,317.05,315.903894155160224501,69309,1097,21894983.00,10325,14.90,10.75,0.10
13-November-2018,317.00,320.50,312.20,315.25,315.136152282509402440,121511,1230,38292509.00,18465,15.20,8.30,-1.75
12-November-2018,320.00,327.00,315.00,316.00,320.620707723477835609,114508,1592,36713636.00,31581,27.58,12.00,-4.00
9-November-2018,319.00,320.95,311.95,319.65,317.372481594813221437,66014,1390,20951027.00,20636,31.26,9.00,0.65
7-November-2018,312.60,315.00,310.85,312.60,312.910992551899001637,18931,282,5923718.00,7331,38.72,4.15,0.00
6-November-2018,315.90,319.30,309.10,312.50,314.259666729786025373,52810,847,16596053.00,14422,27.31,10.20,-3.40
5-November-2018,312.00,320.75,308.50,314.00,314.527122537326618959,135828,2009,42721590.00,26549,19.55,12.25,2.00
2-November-2018,331.90,331.90,309.75,311.95,316.645654290673553194,118105,1803,37397435.00,21876,18.52,22.15,-19.95
1-November-2018,338.90,338.90,313.00,320.10,323.689214686154318368,110771,2809,35855378.00,29894,26.99,25.90,-18.80
31-October-2018,327.95,340.80,324.70,334.55,334.420762917332662847,111362,2155,37241765.00,13939,12.52,16.10,6.60
30-October-2018,315.00,327.85,314.00,325.00,322.189856264821177950,82652,1578,26629636.00,10039,12.15,13.85,10.00
29-October-2018,330.00,330.00,308.10,312.95,312.370650453060262067,118748,1776,37093390.00,10521,8.86,21.90,-17.05
26-October-2018,331.80,333.60,316.25,321.40,322.763696780405326069,85166,1678,27488493.00,11482,13.48,17.35,-10.40
25-October-2018,330.00,337.50,319.65,331.05,330.830173901242705647,257905,4983,85322756.00,12857,4.99,17.85,1.05
24-October-2018,360.00,361.75,343.00,350.70,350.174979986452367756,129912,2822,45491932.00,9553,7.35,18.75,-9.30
23-October-2018,379.00,379.00,346.05,355.35,354.969232868099342187,168589,4036,59843908.00,19644,11.65,32.95,-23.65
22-October-2018,378.10,380.20,371.05,374.10,375.702335525827381924,67351,3683,25303928.00,15002,22.27,9.15,-4.00
19-October-2018,390.00,390.00,372.85,378.75,379.496038985785756565,123327,3549,46802108.00,19249,15.61,17.15,-11.25
17-October-2018,403.00,403.00,391.05,393.50,395.888382609887286306,29189,812,11555586.00,5792,19.84,11.95,-9.50
16-October-2018,395.25,402.55,393.05,395.10,397.188429375589756938,30733,673,12206792.00,5251,17.09,9.50,-0.15
15-October-2018,394.00,406.50,391.00,395.15,397.998899576906293281,105414,3329,41954656.00,17090,16.21,15.50,1.15
12-October-2018,390.05,395.20,377.45,389.45,386.404778692513183113,100697,1888,38909802.00,9496,9.43,17.75,-0.60
11-October-2018,389.00,395.00,373.10,384.50,384.478509182571119913,138850,2479,53384841.00,7814,5.63,21.90,-4.50
10-October-2018,388.10,406.00,383.90,404.05,400.018855864493448386,93870,3414,37549770.00,19160,20.41,22.10,15.95
9-October-2018,406.00,409.80,380.05,391.05,391.603378140950429712,167903,4593,65751382.00,28487,16.97,29.75,-14.95
8-October-2018,403.00,414.35,396.00,405.65,407.666702685828860954,83289,1879,33954152.00,9090,10.91,18.35,2.65
5-October-2018,400.00,418.00,386.40,408.90,404.020695364238410596,130464,4448,52710156.00,27100,20.77,31.60,8.90
4-October-2018,438.85,438.85,406.05,408.55,416.397897196261682242,89880,3911,37425843.00,21142,23.52,32.80,-30.30
3-October-2018,435.50,460.00,429.70,433.75,438.566632005109500609,189451,6512,83086887.00,42602,22.49,30.30,-1.75
1-October-2018,425.40,433.50,409.20,431.20,424.443250774350294195,86847,1712,36861623.00,9362,10.78,24.30,5.80
28-September-2018,445.00,445.00,421.40,428.40,430.640299124998084496,65257,1275,28102294.00,10700,16.40,23.60,-16.60
27-September-2018,437.05,440.45,431.45,434.50,435.858821441949411509,50723,883,22108067.00,10360,20.42,9.00,-2.55
26-September-2018,445.00,448.00,417.50,436.00,430.338140448971683228,108381,1706,46640478.00,8885,8.20,30.50,-9.00
25-September-2018,449.80,452.55,429.95,443.00,444.408102912908472571,67630,1769,30055320.00,12471,18.44,22.60,-6.80
24-September-2018,447.75,454.00,438.05,449.35,446.994888640113127504,67888,1175,30345589.00,10077,14.84,15.95,1.60
21-September-2018,455.70,460.60,430.05,443.55,448.016598474986051701,86032,1428,38543764.00,15969,18.56,30.55,-12.15
19-September-2018,464.30,464.95,453.65,456.20,457.810533574691836910,34803,552,15933180.00,8866,25.47,11.30,-8.10
18-September-2018,466.00,468.30,460.45,462.35,464.138451621658298276,58952,834,27361890.00,10090,17.12,7.85,-3.65
17-September-2018,468.75,474.80,462.80,465.05,470.002360894993829478,149096,1891,70075472.00,13850,9.29,12.00,-3.70
14-September-2018,463.80,470.10,455.75,467.25,462.914929842071273410,119231,1874,55193810.00,20455,17.16,14.35,3.45
12-September-2018,456.00,464.20,453.55,461.15,459.775851361142738846,154576,2821,71070312.00,17097,11.06,10.65,5.15
11-September-2018,460.00,471.90,451.70,454.20,463.381023625488765537,297433,5668,137824808.00,46318,15.57,20.20,-5.80
